Course_ID,Section,Semester,Type,Duration,Weekly_Count,Delivery_Mode,Total_Slots_Needed
COURSE_1,BTech(IT)_4_A,Sem4,Lecture,1,2,Offline,2
COURSE_1,BTech(IT)_4_B,Sem4,Lecture,1,2,Offline,2
COURSE_1,BTech(IT)_4_C,Sem4,Lecture,1,2,Offline,2
COURSE_1,BTech(IT)_4_D,Sem4,Lecture,1,2,Offline,2
COURSE_1,BTech(IT)_4_ONL,Sem4,Lecture,1,1,Online,1
COURSE_2,MCA_2_A,Sem2,Lecture,1,2,Offline,2
COURSE_2,MCA_2_B,Sem2,Lecture,1,2,Offline,2
COURSE_2,MCA_2_C,Sem2,Lecture,1,2,Offline,2
COURSE_2,MCA_2_D,Sem2,Lecture,1,2,Offline,2
COURSE_2,MCA_2_ONL,Sem2,Lecture,1,1,Online,1
COURSE_3,BTech(CSE)_1_A,Sem1,Lecture,1,2,Offline,2
COURSE_3,BTech(CSE)_1_A,Sem1,Lab,2,1,Offline,2
COURSE_3,BTech(CSE)_1_B,Sem1,Lecture,1,2,Offline,2
COURSE_3,BTech(CSE)_1_B,Sem1,Lab,2,1,Offline,2
COURSE_3,BTech(CSE)_1_C,Sem1,Lecture,1,2,Offline,2
COURSE_3,BTech(CSE)_1_C,Sem1,Lab,2,1,Offline,2
COURSE_3,BTech(CSE)_1_D,Sem1,Lecture,1,2,Offline,2
COURSE_3,BTech(CSE)_1_D,Sem1,Lab,2,1,Offline,2
COURSE_3,BTech(CSE)_1_ONL,Sem1,Lecture,1,1,Online,1
COURSE_4,MTech_2_A,Sem2,Lecture,1,1,Offline,1
COURSE_4,MTech_2_B,Sem2,Lecture,1,1,Offline,1
COURSE_4,MTech_2_C,Sem2,Lecture,1,1,Offline,1
COURSE_4,MTech_2_D,Sem2,Lecture,1,1,Offline,1
COURSE_4,MTech_2_ONL,Sem2,Lecture,1,1,Online,1
COURSE_5,BTech(CyberS)_7_A,Sem7,Lecture,1,2,Offline,2
COURSE_5,BTech(CyberS)_7_B,Sem7,Lecture,1,2,Offline,2
COURSE_5,BTech(CyberS)_7_C,Sem7,Lecture,1,2,Offline,2
COURSE_5,BTech(CyberS)_7_D,Sem7,Lecture,1,2,Offline,2
COURSE_5,BTech(CyberS)_7_ONL,Sem7,Lecture,1,1,Online,1
COURSE_6,BTech(CSE)_1_A,Sem1,Lecture,1,2,Offline,2
COURSE_6,BTech(CSE)_1_B,Sem1,Lecture,1,2,Offline,2
COURSE_6,BTech(CSE)_1_C,Sem1,Lecture,1,2,Offline,2
COURSE_6,BTech(CSE)_1_D,Sem1,Lecture,1,2,Offline,2
COURSE_6,BTech(CSE)_1_ONL,Sem1,Lecture,1,1,Online,1
COURSE_7,MCA_3_A,Sem3,Lecture,1,1,Offline,1
COURSE_7,MCA_3_A,Sem3,Lab,2,1,Offline,2
COURSE_7,MCA_3_B,Sem3,Lecture,1,1,Offline,1
COURSE_7,MCA_3_B,Sem3,Lab,2,1,Offline,2
COURSE_7,MCA_3_C,Sem3,Lecture,1,1,Offline,1
COURSE_7,MCA_3_C,Sem3,Lab,2,1,Offline,2
COURSE_7,MCA_3_D,Sem3,Lecture,1,1,Offline,1
COURSE_7,MCA_3_D,Sem3,Lab,2,1,Offline,2
COURSE_7,MCA_3_ONL,Sem3,Lecture,1,1,Online,1
COURSE_8,BTech(IT)_1_A,Sem1,Lecture,1,1,Offline,1
COURSE_8,BTech(IT)_1_A,Sem1,Lab,2,1,Offline,2
COURSE_8,BTech(IT)_1_B,Sem1,Lecture,1,1,Offline,1
COURSE_8,BTech(IT)_1_B,Sem1,Lab,2,1,Offline,2
