Room_ID,Room_Type,Capacity,Building_Block,Floor
R011,Lecture,240,Block_A,1
R056,Lecture,154,Block_A,1
R014,Lecture,140,Block_A,1
R074,Lecture,140,Block_A,1
R028,Lecture,135,Block_A,1
R058,Lecture,130,Block_A,1
R003,Lecture,122,Block_A,2
R063,Lecture,100,Block_A,2
R113,Lecture,100,Block_A,2
R114,Lecture,100,Block_A,2
R115,Lecture,100,Block_A,2
R161,Lecture,100,Block_A,2
R043,Lecture,101,Block_B,1
R051,Lecture,102,Block_B,1
R037,Lecture,103,Block_B,1
R087,Lecture,104,Block_B,1
R093,Lecture,105,Block_B,1
R072,Lecture,106,Block_B,1
R061,Lecture,107,Block_B,2
R053,Lecture,108,Block_B,2
R104,Lecture,109,Block_B,2
R102,Lecture,110,Block_B,2
R103,Lecture,111,Block_B,2
R106,Lecture,112,Block_B,2
R077,Lecture,100,Block_B,3
R079,Lecture,100,Block_B,3
R047,Lecture,100,Block_B,3
R048,Lecture,100,Block_B,3
R075,Lecture,100,Block_B,3
R049,Lecture,100,Block_B,3
R018,Lecture,100,Block_C,1
R022,Lecture,100,Block_C,1
R107,Lecture,100,Block_C,1
R070,Lecture,100,Block_C,1
R050,Lecture,100,Block_C,1
R004,Lecture,100,Block_C,1
R015,Lecture,100,Block_C,2
R021,Lecture,100,Block_C,2
R031,Lecture,100,Block_C,2
R116,Lecture,100,Block_C,2
R117,Lecture,100,Block_C,2
R118,Lecture,100,Block_C,2
R119,Lecture,100,Block_C,2
R076,Lecture,100,Block_D,1
R020,Lecture,100,Block_D,1
R068,Lecture,100,Block_D,1
R069,Lecture,100,Block_D,1
R013,Lecture,100,Block_D,1
R016,Lecture,100,Block_D,1
R045,Lecture,100,Block_D,2
R071,Lecture,100,Block_D,2
R002,Lecture,100,Block_D,2
R008,Lecture,100,Block_D,2
R009,Lecture,100,Block_D,2
R120,Lecture,100,Block_D,2
R121,Lecture,100,Block_D,3
R122,Lecture,100,Block_D,3
R123,Lecture,100,Block_D,3
R124,Lecture,100,Block_D,3
R125,Lecture,100,Block_D,3
R126,Lecture,100,Block_D,3
R127,Lecture,100,Block_D,3
R128,Lecture,100,Block_D,4
R129,Lecture,100,Block_D,4
R130,Lecture,100,Block_D,4
R131,Lecture,100,Block_D,4
R132,Lecture,100,Block_D,4
R133,Lecture,100,Block_D,4
R012,Lecture,100,Block_E,1
R041,Lecture,100,Block_E,1
R108,Lecture,100,Block_E,1
R060,Lecture,100,Block_E,1
R064,Lecture,100,Block_E,1
R109,Lecture,100,Block_E,1
R066,Lecture,100,Block_E,2
R019,Lecture,100,Block_E,2
R001,Lecture,100,Block_E,2
R006,Lecture,100,Block_E,2
R007,Lecture,100,Block_E,2
R134,Lecture,100,Block_E,2
R135,Lecture,100,Block_E,3
R136,Lecture,100,Block_E,3
R137,Lecture,100,Block_E,3
R138,Lecture,100,Block_E,3
R139,Lecture,100,Block_E,3
R140,Lecture,100,Block_E,3
R141,Lecture,100,Block_E,4
R142,Lecture,100,Block_E,4
R143,Lecture,100,Block_E,4
R144,Lecture,100,Block_E,4
R145,Lecture,100,Block_E,4
R146,Lecture,100,Block_E,4
R010,Lecture,100,Block_F,1
R017,Lecture,100,Block_F,1
R023,Lecture,100,Block_F,1
R101,Lecture,100,Block_F,1
R054,Lecture,100,Block_F,1
R065,Lecture,100,Block_F,1
R067,Lecture,100,Block_F,2
R080,Lecture,100,Block_F,2
R026,Lecture,100,Block_F,2
R046,Lecture,100,Block_F,2
R147,Lecture,100,Block_F,2
R148,Lecture,100,Block_F,2
R149,Lecture,100,Block_F,3
R150,Lecture,100,Block_F,3
R151,Lecture,100,Block_F,3
R152,Lecture,100,Block_F,3
R153,Lecture,100,Block_F,3
R154,Lecture,100,Block_F,3
R155,Lecture,100,Block_F,4
R156,Lecture,100,Block_F,4
R157,Lecture,100,Block_F,4
R158,Lecture,100,Block_F,4
R159,Lecture,100,Block_F,4
R160,Lecture,100,Block_F,4
R073,Lab,24,IT_TOWER,1
R052,Lab,22,IT_TOWER,2
R059,Lab,20,IT_TOWER,1
R024,Lab,15,IT_TOWER,2
R027,Lab,15,IT_TOWER,1
R029,Lab,15,IT_TOWER,2
R032,Lab,15,IT_TOWER,1
R036,Lab,15,IT_TOWER,2
R038,Lab,15,IT_TOWER,1
R040,Lab,15,IT_TOWER,2
R044,Lab,15,IT_TOWER,1
R110,Lab,15,IT_TOWER,2
R062,Lab,15,IT_TOWER,1
R005,Lab,14,IT_TOWER,2
R034,Lab,14,IT_TOWER,1
R055,Lab,12,IT_TOWER,2
R033,Lab,10,IT_TOWER,1
R035,Lab,10,IT_TOWER,2
R039,Online,4,MAIN,1
R025,Online,4,MAIN,1
R030,Online,4,MAIN,1
R111,Online,4,MAIN,1
R042,Online,4,MAIN,1
R078,Online,4,MAIN,1
R112,Online,4,MAIN,1
