Course_ID,Section,Semester,Type,Weekly_Count,Duration,Delivery_Mode,,,,,,,,
BC108,MCA_Sem1_A,sem1,Lecture,2,1,Offline,,,,,,,,
CSIT743,MCA_Sem1_A,sem1,Lecture,4,1,Offline,,,,,,,,
CSIT751,MCA_Sem1_A,sem1,Lecture,4,1,Offline,,,,,,,,
IT601,MCA_Sem1_A,sem1,Lecture,3,1,Offline,,,,,,,,
IT612,MCA_Sem1_A,sem1,Lecture,3,1,Offline,,,,,,,,
BS605,MCA_Sem2_A,sem2,Lecture,3,1,Offline,,,,,,,,
CSE601,MCA_Sem2_A,sem2,Lecture,4,1,Offline,,,,,,,,
CSIT654,MCA_Sem2_A,sem2,Lecture,4,1,Offline,,,,,,,,
CSIT816,MCA_Sem2_A,sem2,Lecture,4,1,Offline,,,,,,,,
CSIT755,MCA_Sem2_A,sem2,Lecture,3,1,Offline,,,,,,,,
CSIT745,MCA_Sem2_A,sem2,Lecture,2,1,Offline,,,,,,,,
CSIT762,MCA_Sem3_A,sem3,Lecture,4,1,Offline,,,,,,,,
CSIT802,MCA_Sem3_A,sem3,Lecture,4,1,Offline,,,,,,,,
CSIT803,MCA_Sem3_A,sem3,Lecture,4,1,Offline,,,,,,,,
CSIT811,MCA_Sem3_A,sem3,Lecture,4,1,Offline,,,,,,,,
MATH802,MCA_Sem3_A,sem3,Lecture,3,1,Offline,,,,,,,,
PFE701,MCA_Sem3_A,sem3,Lecture,2,1,Offline,,,,,,,,
ETSM600,MCA_Sem3_A,sem3,Lecture,1,1,Offline,,,,,,,,
ETSM800,MCA_Sem4_A,sem4,Lecture,1,1,Offline,,,,,,,,
BC108,MCA_Sem1_B,sem1,Lecture,2,1,Offline,,,,,,,,
CSIT743,MCA_Sem1_B,sem1,Lecture,4,1,Offline,,,,,,,,
CSIT751,MCA_Sem1_B,sem1,Lecture,4,1,Offline,,,,,,,,
IT601,MCA_Sem1_B,sem1,Lecture,3,1,Offline,,,,,,,,
IT612,MCA_Sem1_B,sem1,Lecture,3,1,Offline,,,,,,,,
BS605,MCA_Sem2_B,sem2,Lecture,3,1,Offline,,,,,,,,
CSE601,MCA_Sem2_B,sem2,Lecture,4,1,Offline,,,,,,,,
CSIT654,MCA_Sem2_B,sem2,Lecture,4,1,Offline,,,,,,,,
CSIT816,MCA_Sem2_B,sem2,Lecture,4,1,Offline,,,,,,,,
CSIT755,MCA_Sem2_B,sem2,Lecture,3,1,Offline,,,,,,,,
CSIT745,MCA_Sem2_B,sem2,Lecture,2,1,Offline,,,,,,,,
CSIT762,MCA_Sem3_B,sem3,Lecture,4,1,Offline,,,,,,,,
CSIT802,MCA_Sem3_B,sem3,Lecture,4,1,Offline,,,,,,,,
CSIT803,MCA_Sem3_B,sem3,Lecture,4,1,Offline,,,,,,,,
CSIT811,MCA_Sem3_B,sem3,Lecture,4,1,Offline,,,,,,,,
MATH802,MCA_Sem3_B,sem3,Lecture,3,1,Offline,,,,,,,,
