Room_ID,Room_Type,Capacity,Building_Block,Floor
R101,Lecture,60,Block_A,1
R102,Lecture,60,Block_A,1
R103,Lecture,60,Block_A,1
R104,Lecture,60,Block_A,1
R105,Lecture,60,Block_A,2
R106,Lecture,60,Block_A,2
R107,Lecture,60,Block_A,2
R108,Lecture,60,Block_A,2
R109,Lecture,60,Block_B,1
R110,Lecture,60,Block_B,1
R111,Lecture,60,Block_B,1
R112,Lecture,60,Block_B,1
R013,Lecture,60,Block_B,2
R014,Lecture,60,Block_B,2
R015,Lecture,60,Block_B,2
R016,Lecture,60,Block_B,2
R017,Lecture,60,Block_C,1
R018,Lecture,60,Block_C,1
R019,Lecture,60,Block_C,1
R020,Lecture,60,Block_C,1
R021,Lecture,60,Block_C,2
R022,Lecture,60,Block_C,2
R023,Lecture,60,Block_C,2
R024,Lecture,60,Block_C,2
R025,Lecture,60,Block_D,1
R026,Lecture,60,Block_D,1
R027,Lecture,60,Block_D,1
R028,Lecture,60,Block_D,1
R029,Lecture,60,Block_D,2
R030,Lecture,60,Block_D,2
R031,Lecture,60,Block_D,2
R032,Lecture,60,Block_D,2
S101,Online,5,Main,1
S102,Online,5,Main,1
S103,Online,5,Main,1
S104,Online,5,Main,1
S105,Online,5,Main,2
S106,Online,5,Main,2
S107,Online,5,Main,2
L101,Lab,80,IT_Tower,1
L102,Lab,80,IT_Tower,1
L103,Lab,80,IT_Tower,2
L104,Lab,80,IT_Tower,2
L105,Lab,80,IT_Tower,2
L106,Lab,80,IT_Tower,3
L107,Lab,80,IT_Tower,3
L108,Lab,80,IT_Tower,3
